date,open,high,low,close,adj_close,volume
"Dec 2, 2024","24,140.85","24,182.60","24,008.65","24,167.05","24,167.05",-
"Nov 29, 2024","23,927.15","24,188.45","23,927.15","24,131.10","24,131.10","282,100"
"Nov 28, 2024","24,274.15","24,345.75","23,873.35","23,914.15","23,914.15","366,700"
"Nov 27, 2024","24,204.80","24,354.55","24,145.65","24,274.90","24,274.90","295,000"
"Nov 26, 2024","24,343.30","24,343.30","24,125.40","24,194.50","24,194.50","230,700"
"Nov 25, 2024","24,253.55","24,351.55","24,135.45","24,221.90","24,221.90","687,200"
"Nov 22, 2024","23,411.80","23,956.10","23,359.00","23,907.25","23,907.25","367,600"
"Nov 21, 2024","23,488.45","23,507.30","23,263.15","23,349.90","23,349.90","420,300"
"Nov 19, 2024","23,529.55","23,780.65","23,464.80","23,518.50","23,518.50","297,500"
"Nov 18, 2024","23,605.30","23,606.80","23,350.40","23,453.80","23,453.80","263,300"
"Nov 14, 2024","23,542.15","23,675.90","23,484.15","23,532.70","23,532.70","257,700"
"Nov 13, 2024","23,822.45","23,873.60","23,509.60","23,559.05","23,559.05","304,600"
"Nov 12, 2024","24,225.80","24,242.00","23,839.15","23,883.45","23,883.45","255,800"
"Nov 11, 2024","24,087.25","24,336.80","24,004.60","24,141.30","24,141.30","273,400"
"Nov 8, 2024","24,207.70","24,276.15","24,066.65","24,148.20","24,148.20","298,700"
"Nov 7, 2024","24,489.60","24,503.35","24,179.05","24,199.35","24,199.35","322,200"
"Nov 6, 2024","24,308.75","24,537.60","24,204.05","24,484.05","24,484.05","351,100"
"Nov 5, 2024","23,916.50","24,229.05","23,842.75","24,213.30","24,213.30","289,500"
"Nov 4, 2024","24,315.75","24,316.75","23,816.15","23,995.35","23,995.35","285,500"
"Nov 1, 2024","24,302.75","24,368.25","24,280.20","24,304.35","24,304.35","38,800"
"Oct 31, 2024","24,349.85","24,372.45","24,172.60","24,205.35","24,205.35","287,000"
"Oct 30, 2024","24,371.45","24,498.20","24,307.30","24,340.85","24,340.85","285,200"
"Oct 29, 2024","24,328.85","24,484.50","24,140.85","24,466.85","24,466.85","332,000"
"Oct 28, 2024","24,251.10","24,492.60","24,134.90","24,339.15","24,339.15","278,600"
"Oct 25, 2024","24,418.05","24,440.25","24,073.90","24,180.80","24,180.80","372,600"
"Oct 24, 2024","24,412.70","24,480.65","24,341.20","24,399.40","24,399.40","216,700"
"Oct 23, 2024","24,378.15","24,604.25","24,378.10","24,435.50","24,435.50","284,600"
"Oct 22, 2024","24,798.65","24,882.00","24,445.80","24,472.10","24,472.10","279,500"
"Oct 21, 2024","24,956.15","24,978.30","24,679.60","24,781.10","24,781.10","242,000"
"Oct 18, 2024","24,664.95","24,886.20","24,567.65","24,854.05","24,854.05","290,900"
"Oct 17, 2024","25,027.40","25,029.50","24,728.90","24,749.85","24,749.85","252,800"
"Oct 16, 2024","25,008.55","25,093.40","24,908.45","24,971.30","24,971.30","226,800"
"Oct 15, 2024","25,186.30","25,212.05","25,008.15","25,057.35","25,057.35","257,200"
"Oct 14, 2024","25,023.45","25,159.75","25,017.50","25,127.95","25,127.95","206,400"
"Oct 11, 2024","24,985.30","25,028.65","24,920.05","24,964.25","24,964.25","210,500"
"Oct 10, 2024","25,067.05","25,134.05","24,979.40","24,998.45","24,998.45","261,400"
"Oct 9, 2024","25,065.80","25,234.05","24,947.70","24,981.95","24,981.95","290,600"
"Oct 8, 2024","24,832.20","25,044.00","24,756.80","25,013.15","25,013.15","333,200"
"Oct 7, 2024","25,084.10","25,143.00","24,694.35","24,795.75","24,795.75","374,300"
"Oct 4, 2024","25,181.90","25,485.05","24,966.80","25,014.60","25,014.60","374,900"
"Oct 3, 2024","25,452.85","25,639.45","25,230.30","25,250.10","25,250.10","423,400"
"Oct 1, 2024","25,788.45","25,907.60","25,739.20","25,796.90","25,796.90","247,400"
"Sep 30, 2024","26,061.30","26,134.70","25,794.10","25,810.85","25,810.85","343,100"
"Sep 27, 2024","26,248.25","26,277.35","26,151.40","26,178.95","26,178.95","490,300"
"Sep 26, 2024","26,005.40","26,250.90","25,998.40","26,216.05","26,216.05","370,900"
"Sep 25, 2024","25,899.45","26,032.80","25,871.35","26,004.15","26,004.15","278,500"
"Sep 24, 2024","25,921.45","26,011.55","25,886.85","25,940.40","25,940.40","384,100"
"Sep 23, 2024","25,872.55","25,956.00","25,847.35","25,939.05","25,939.05","209,200"
"Sep 20, 2024","25,525.95","25,849.25","25,426.60","25,790.95","25,790.95","533,100"
"Sep 19, 2024","25,487.05","25,611.95","25,376.05","25,415.80","25,415.80","314,500"
"Sep 18, 2024","25,402.40","25,482.20","25,285.55","25,377.55","25,377.55","215,700"
"Sep 17, 2024","25,416.90","25,441.65","25,352.25","25,418.55","25,418.55","216,000"
"Sep 16, 2024","25,406.65","25,445.70","25,336.20","25,383.75","25,383.75","168,700"
"Sep 13, 2024","25,430.45","25,430.50","25,292.45","25,356.50","25,356.50","250,800"
"Sep 12, 2024","25,059.65","25,433.35","24,941.45","25,388.90","25,388.90","380,100"
"Sep 11, 2024","25,034.00","25,113.70","24,885.15","24,918.45","24,918.45","279,200"
"Sep 10, 2024","24,999.40","25,130.50","24,896.80","25,041.10","25,041.10","251,300"
"Sep 9, 2024","24,823.40","24,957.50","24,753.15","24,936.40","24,936.40","254,400"
"Sep 6, 2024","25,093.70","25,168.75","24,801.30","24,852.15","24,852.15","311,700"
"Sep 5, 2024","25,250.50","25,275.45","25,127.75","25,145.10","25,145.10","222,200"
"Sep 4, 2024","25,089.95","25,216.00","25,083.80","25,198.70","25,198.70","253,800"
"Sep 3, 2024","25,313.40","25,321.70","25,235.80","25,279.85","25,279.85","212,100"
"Sep 2, 2024","25,333.60","25,333.65","25,235.50","25,278.70","25,278.70","222,800"
"Aug 30, 2024","25,249.70","25,268.35","25,199.40","25,235.90","25,235.90","638,200"
"Aug 29, 2024","25,035.30","25,192.90","24,998.50","25,151.95","25,151.95","354,000"
"Aug 28, 2024","25,030.80","25,129.60","24,964.65","25,052.35","25,052.35","220,400"
"Aug 27, 2024","25,024.80","25,073.10","24,973.65","25,017.75","25,017.75","223,300"
"Aug 26, 2024","24,906.10","25,043.80","24,874.70","25,010.60","25,010.60","210,300"
"Aug 23, 2024","24,845.40","24,858.40","24,771.65","24,823.15","24,823.15","206,800"
"Aug 22, 2024","24,863.40","24,867.35","24,784.45","24,811.50","24,811.50","220,300"
"Aug 21, 2024","24,680.55","24,787.95","24,654.50","24,770.20","24,770.20","257,100"
"Aug 20, 2024","24,648.90","24,734.30","24,607.20","24,698.85","24,698.85","238,300"
"Aug 19, 2024","24,636.35","24,638.80","24,522.95","24,572.65","24,572.65","243,600"
"Aug 16, 2024","24,334.85","24,563.90","24,204.50","24,541.15","24,541.15","271,600"
"Aug 14, 2024","24,184.40","24,196.50","24,099.70","24,143.75","24,143.75","303,300"
"Aug 13, 2024","24,342.35","24,359.95","24,116.50","24,139.00","24,139.00","239,700"
"Aug 12, 2024","24,320.05","24,472.80","24,212.10","24,347.00","24,347.00","279,900"
"Aug 9, 2024","24,386.85","24,419.75","24,311.20","24,367.50","24,367.50","215,100"
"Aug 8, 2024","24,248.55","24,340.50","24,079.70","24,117.00","24,117.00","311,900"
"Aug 7, 2024","24,289.40","24,337.70","24,184.90","24,297.50","24,297.50","317,600"
"Aug 6, 2024","24,189.85","24,382.60","23,960.40","23,992.55","23,992.55","312,300"
"Aug 5, 2024","24,302.85","24,350.05","23,893.70","24,055.60","24,055.60","487,000"
"Aug 2, 2024","24,789.00","24,851.90","24,686.85","24,717.70","24,717.70","345,000"
"Aug 1, 2024","25,030.95","25,078.30","24,956.40","25,010.90","25,010.90","431,300"
"Jul 31, 2024","24,886.70","24,984.60","24,856.50","24,951.15","24,951.15","333,600"
"Jul 30, 2024","24,839.40","24,971.75","24,798.65","24,857.30","24,857.30","385,000"
"Jul 29, 2024","24,943.30","24,999.75","24,774.60","24,836.10","24,836.10","355,000"
"Jul 26, 2024","24,423.35","24,861.15","24,410.90","24,834.85","24,834.85","383,800"
"Jul 25, 2024","24,230.95","24,426.15","24,210.80","24,406.10","24,406.10","391,800"
"Jul 24, 2024","24,444.95","24,504.25","24,307.25","24,413.50","24,413.50","366,600"
"Jul 23, 2024","24,568.90","24,582.55","24,074.20","24,479.05","24,479.05","436,400"
"Jul 22, 2024","24,445.75","24,595.20","24,362.30","24,509.25","24,509.25","324,200"
"Jul 19, 2024","24,853.80","24,854.80","24,508.15","24,530.90","24,530.90","343,800"
"Jul 18, 2024","24,543.80","24,837.75","24,504.45","24,800.85","24,800.85","350,900"
"Jul 16, 2024","24,615.90","24,661.25","24,587.65","24,613.00","24,613.00","283,200"
"Jul 15, 2024","24,587.60","24,635.05","24,522.75","24,586.70","24,586.70","305,400"
"Jul 12, 2024","24,387.95","24,592.20","24,331.15","24,502.15","24,502.15","325,800"
"Jul 11, 2024","24,396.55","24,402.65","24,193.75","24,315.95","24,315.95","306,400"
"Jul 10, 2024","24,459.85","24,461.05","24,141.80","24,324.45","24,324.45","292,300"
"Jul 9, 2024","24,351.00","24,443.60","24,331.90","24,433.20","24,433.20","250,500"
"Jul 8, 2024","24,329.45","24,344.60","24,240.55","24,320.55","24,320.55","266,300"
"Jul 5, 2024","24,213.35","24,363.00","24,168.85","24,323.85","24,323.85","298,400"
"Jul 4, 2024","24,369.95","24,401.00","24,281.00","24,302.15","24,302.15","251,200"
"Jul 3, 2024","24,291.75","24,309.15","24,207.10","24,286.50","24,286.50",-
"Jul 2, 2024","24,228.75","24,236.35","24,056.40","24,123.85","24,123.85",-
"Jul 1, 2024","23,992.95","24,164.00","23,992.70","24,141.95","24,141.95",-
"Jun 28, 2024","24,085.90","24,174.00","23,985.80","24,010.60","24,010.60","354,800"
"Jun 27, 2024","23,881.55","24,087.45","23,805.40","24,044.50","24,044.50","515,200"
"Jun 26, 2024","23,723.10","23,889.90","23,670.45","23,868.80","23,868.80","287,800"
"Jun 25, 2024","23,577.10","23,754.15","23,562.05","23,721.30","23,721.30","298,100"
"Jun 24, 2024","23,382.30","23,558.10","23,350.00","23,537.85","23,537.85","239,400"
"Jun 21, 2024","23,661.15","23,667.10","23,398.20","23,501.10","23,501.10","609,900"
"Jun 20, 2024","23,586.15","23,624.00","23,442.60","23,567.00","23,567.00","280,300"
"Jun 19, 2024","23,629.85","23,664.00","23,412.90","23,516.00","23,516.00","328,800"
"Jun 18, 2024","23,570.80","23,579.05","23,499.70","23,557.90","23,557.90","272,200"
"Jun 14, 2024","23,464.95","23,490.40","23,334.25","23,465.60","23,465.60","223,100"
"Jun 13, 2024","23,480.95","23,481.05","23,353.90","23,398.90","23,398.90","268,300"
"Jun 12, 2024","23,344.45","23,441.95","23,295.95","23,322.95","23,322.95","295,600"
"Jun 11, 2024","23,283.75","23,389.45","23,206.65","23,264.85","23,264.85","305,200"
"Jun 10, 2024","23,319.15","23,411.90","23,227.15","23,259.20","23,259.20","304,400"
"Jun 7, 2024","22,821.85","23,320.20","22,789.05","23,290.15","23,290.15","473,600"
"Jun 6, 2024","22,798.60","22,910.15","22,642.60","22,821.40","22,821.40","480,400"
"Jun 5, 2024","22,128.35","22,670.40","21,791.95","22,620.35","22,620.35","638,500"
"Jun 4, 2024","23,179.50","23,179.50","21,281.45","21,884.50","21,884.50","1,006,100"
"Jun 3, 2024","23,337.90","23,338.70","23,062.30","23,263.90","23,263.90","569,400"
"May 31, 2024","22,568.10","22,653.75","22,465.10","22,530.70","22,530.70","572,100"
"May 30, 2024","22,617.45","22,705.75","22,417.00","22,488.65","22,488.65","373,400"
"May 29, 2024","22,762.75","22,825.50","22,685.45","22,704.70","22,704.70","269,900"
"May 28, 2024","22,977.15","22,998.55","22,858.50","22,888.15","22,888.15","217,900"
"May 27, 2024","23,038.95","23,110.80","22,871.20","22,932.45","22,932.45","260,000"
"May 24, 2024","22,930.75","23,026.40","22,908.00","22,957.10","22,957.10","261,900"
"May 23, 2024","22,614.10","22,993.60","22,577.45","22,967.65","22,967.65","369,800"
"May 22, 2024","22,576.60","22,629.50","22,483.15","22,597.80","22,597.80","290,300"
"May 21, 2024","22,404.55","22,591.10","22,404.55","22,529.05","22,529.05","347,600"
"May 17, 2024","22,415.25","22,502.15","22,345.65","22,466.10","22,466.10","242,700"
"May 16, 2024","22,319.20","22,432.25","22,054.55","22,403.85","22,403.85","368,900"
"May 15, 2024","22,255.60","22,297.55","22,151.75","22,200.55","22,200.55","231,900"
"May 14, 2024","22,112.90","22,270.05","22,081.25","22,217.85","22,217.85","230,200"
"May 13, 2024","22,027.95","22,131.65","21,821.05","22,104.05","22,104.05","278,200"
"May 10, 2024","21,990.95","22,131.30","21,950.30","22,055.20","22,055.20","265,800"
"May 9, 2024","22,224.80","22,307.75","21,932.40","21,957.50","21,957.50","331,300"
"May 8, 2024","22,231.20","22,368.65","22,185.20","22,302.50","22,302.50","277,400"
"May 7, 2024","22,489.75","22,499.05","22,232.05","22,302.50","22,302.50","297,800"
"May 6, 2024","22,561.60","22,588.80","22,409.45","22,442.70","22,442.70","320,300"
"May 3, 2024","22,766.35","22,794.70","22,348.05","22,475.85","22,475.85","438,100"
"May 2, 2024","22,567.85","22,710.50","22,567.85","22,648.20","22,648.20","445,900"
"Apr 30, 2024","22,679.65","22,783.35","22,568.40","22,604.85","22,604.85","361,900"
"Apr 29, 2024","22,475.55","22,655.80","22,441.90","22,643.40","22,643.40","292,000"
"Apr 26, 2024","22,620.40","22,620.40","22,385.55","22,419.95","22,419.95","329,900"
"Apr 25, 2024","22,316.90","22,625.95","22,305.25","22,570.35","22,570.35","475,000"
"Apr 24, 2024","22,421.55","22,476.45","22,384.00","22,402.40","22,402.40","235,900"
"Apr 23, 2024","22,447.05","22,447.55","22,349.45","22,368.00","22,368.00","231,500"
"Apr 22, 2024","22,336.90","22,375.65","22,198.15","22,336.40","22,336.40","279,300"
"Apr 19, 2024","21,861.50","22,179.55","21,777.65","22,147.00","22,147.00","362,500"
"Apr 18, 2024","22,212.35","22,326.50","21,961.70","21,995.85","21,995.85","456,900"
"Apr 16, 2024","22,125.30","22,213.75","22,079.45","22,147.90","22,147.90","317,300"
"Apr 15, 2024","22,339.05","22,427.45","22,259.55","22,272.50","22,272.50","355,500"
"Apr 12, 2024","22,677.40","22,726.45","22,503.75","22,519.40","22,519.40","357,200"
"Apr 10, 2024","22,720.25","22,775.70","22,673.70","22,753.80","22,753.80","276,800"
"Apr 9, 2024","22,765.10","22,768.40","22,612.25","22,642.75","22,642.75","232,400"
"Apr 8, 2024","22,578.35","22,697.30","22,550.35","22,666.30","22,666.30","227,600"
"Apr 5, 2024","22,486.40","22,537.60","22,427.60","22,513.70","22,513.70","242,200"
"Apr 4, 2024","22,592.10","22,619.00","22,303.80","22,514.65","22,514.65","401,000"
"Apr 3, 2024","22,385.70","22,521.10","22,346.50","22,434.65","22,434.65","309,600"
"Apr 2, 2024","22,458.80","22,497.60","22,388.15","22,453.30","22,453.30","289,500"
"Apr 1, 2024","22,455.00","22,529.95","22,427.75","22,462.00","22,462.00",-
"Mar 28, 2024","22,163.60","22,516.00","22,163.60","22,326.90","22,326.90","410,500"
"Mar 27, 2024","22,053.95","22,193.60","22,052.85","22,123.65","22,123.65","409,100"
"Mar 26, 2024","21,947.90","22,073.20","21,947.55","22,004.70","22,004.70","328,400"
"Mar 22, 2024","21,932.20","22,180.70","21,883.30","22,096.75","22,096.75","388,700"
"Mar 21, 2024","21,989.90","22,080.95","21,941.30","22,011.95","22,011.95","353,200"
"Mar 20, 2024","21,843.90","21,930.90","21,710.20","21,839.10","21,839.10","312,400"
"Mar 19, 2024","21,946.45","21,978.30","21,793.10","21,817.45","21,817.45","344,200"
"Mar 18, 2024","21,990.10","22,123.70","21,916.55","22,055.70","22,055.70","356,300"
"Mar 15, 2024","22,064.85","22,120.90","21,931.70","22,023.35","22,023.35","661,500"
"Mar 14, 2024","21,982.55","22,204.60","21,917.50","22,146.65","22,146.65","426,700"
"Mar 13, 2024","22,432.20","22,446.75","21,905.65","21,997.70","21,997.70","493,300"
"Mar 12, 2024","22,334.45","22,452.55","22,256.00","22,335.70","22,335.70","299,200"
"Mar 11, 2024","22,517.50","22,526.60","22,307.25","22,332.65","22,332.65","277,900"
"Mar 7, 2024","22,505.30","22,525.65","22,430.00","22,493.55","22,493.55","379,900"
"Mar 6, 2024","22,327.50","22,497.20","22,224.35","22,474.05","22,474.05","312,300"
"Mar 5, 2024","22,371.25","22,416.90","22,269.15","22,356.30","22,356.30","296,200"
"Mar 4, 2024","22,403.50","22,440.90","22,358.30","22,405.60","22,405.60","298,800"
"Mar 1, 2024","22,048.30","22,353.30","22,047.75","22,338.75","22,338.75","351,500"
"Feb 29, 2024","21,935.20","22,060.55","21,860.65","21,982.80","21,982.80","360,200"
"Feb 28, 2024","22,214.10","22,229.15","21,915.85","21,951.15","21,951.15","203,000"
"Feb 27, 2024","22,090.20","22,218.25","22,085.65","22,198.35","22,198.35","252,200"
"Feb 26, 2024","22,169.20","22,202.15","22,075.15","22,122.05","22,122.05","207,800"
"Feb 23, 2024","22,290.00","22,297.50","22,186.10","22,212.70","22,212.70","226,000"
"Feb 22, 2024","22,081.55","22,252.50","21,875.25","22,217.45","22,217.45","343,500"
"Feb 21, 2024","22,248.85","22,249.40","21,997.95","22,055.05","22,055.05","364,500"
"Feb 20, 2024","22,099.20","22,215.60","22,045.85","22,196.95","22,196.95","295,700"
"Feb 19, 2024","22,103.45","22,186.65","22,021.05","22,122.25","22,122.25",-
"Feb 16, 2024","22,020.30","22,068.65","21,968.95","22,040.70","22,040.70","343,900"
"Feb 15, 2024","21,906.55","21,953.85","21,794.80","21,910.75","21,910.75","345,400"
"Feb 14, 2024","21,578.15","21,870.85","21,530.20","21,840.05","21,840.05","359,100"
"Feb 13, 2024","21,664.30","21,766.80","21,543.35","21,743.25","21,743.25","365,800"
"Feb 12, 2024","21,800.80","21,831.70","21,574.75","21,616.05","21,616.05","287,400"
"Feb 9, 2024","21,727.00","21,804.45","21,629.90","21,782.50","21,782.50","349,200"
"Feb 8, 2024","22,009.65","22,011.05","21,665.30","21,717.95","21,717.95","491,100"
"Feb 7, 2024","22,045.05","22,053.30","21,860.15","21,930.50","21,930.50","346,300"
"Feb 6, 2024","21,825.20","21,951.40","21,737.55","21,929.40","21,929.40","371,000"
"Feb 5, 2024","21,921.05","21,964.30","21,726.95","21,771.70","21,771.70","440,800"
"Feb 2, 2024","21,812.75","22,126.80","21,805.55","21,853.80","21,853.80","442,800"
"Feb 1, 2024","21,780.65","21,832.95","21,658.75","21,697.45","21,697.45","332,500"
"Jan 31, 2024","21,487.25","21,741.35","21,448.85","21,725.70","21,725.70","410,600"
"Jan 30, 2024","21,775.75","21,813.05","21,501.80","21,522.10","21,522.10","375,100"
"Jan 29, 2024","21,433.10","21,763.25","21,429.60","21,737.60","21,737.60","376,700"
"Jan 25, 2024","21,454.60","21,459.00","21,247.05","21,352.60","21,352.60","418,100"
"Jan 24, 2024","21,185.25","21,482.35","21,137.20","21,453.95","21,453.95","407,500"
"Jan 23, 2024","21,716.70","21,750.25","21,192.60","21,238.80","21,238.80","449,700"
"Jan 19, 2024","21,615.20","21,670.60","21,575.00","21,622.40","21,622.40","343,100"
"Jan 18, 2024","21,414.20","21,539.40","21,285.55","21,462.25","21,462.25","387,300"
"Jan 17, 2024","21,647.25","21,851.50","21,550.45","21,571.95","21,571.95","456,000"
"Jan 16, 2024","22,080.50","22,124.15","21,969.80","22,032.30","22,032.30","292,400"
"Jan 15, 2024","22,053.15","22,115.55","21,963.55","22,097.45","22,097.45","345,500"
"Jan 12, 2024","21,773.55","21,928.25","21,715.15","21,894.55","21,894.55","294,700"
"Jan 11, 2024","21,688.00","21,726.50","21,593.75","21,647.20","21,647.20","212,500"
"Jan 10, 2024","21,529.30","21,641.85","21,448.65","21,618.70","21,618.70","217,000"
"Jan 9, 2024","21,653.60","21,724.45","21,517.85","21,544.85","21,544.85","228,600"
"Jan 8, 2024","21,747.60","21,763.95","21,492.90","21,513.00","21,513.00","231,500"
"Jan 5, 2024","21,705.75","21,749.60","21,629.20","21,710.80","21,710.80","309,300"
"Jan 4, 2024","21,605.80","21,685.65","21,564.55","21,658.60","21,658.60","339,200"
"Jan 3, 2024","21,661.10","21,677.00","21,500.35","21,517.35","21,517.35","311,900"
"Jan 2, 2024","21,751.35","21,755.60","21,555.65","21,665.80","21,665.80","263,700"
"Jan 1, 2024","21,727.75","21,834.35","21,680.85","21,741.90","21,741.90","154,000"
"Dec 29, 2023","21,737.65","21,770.30","21,676.90","21,731.40","21,731.40","270,900"
"Dec 28, 2023","21,715.00","21,801.45","21,678.00","21,778.70","21,778.70","393,100"
"Dec 27, 2023","21,497.65","21,675.75","21,495.80","21,654.75","21,654.75","256,500"
"Dec 26, 2023","21,365.20","21,477.15","21,329.45","21,441.35","21,441.35","219,500"
"Dec 22, 2023","21,295.85","21,390.50","21,232.45","21,349.40","21,349.40","284,700"
"Dec 21, 2023","21,033.95","21,288.35","20,976.80","21,255.05","21,255.05","277,500"
"Dec 20, 2023","21,543.50","21,593.00","21,087.35","21,150.15","21,150.15","363,900"
"Dec 19, 2023","21,477.65","21,505.05","21,337.75","21,453.10","21,453.10","249,800"
"Dec 18, 2023","21,434.80","21,482.80","21,365.35","21,418.65","21,418.65","249,700"
"Dec 15, 2023","21,287.45","21,492.30","21,235.30","21,456.65","21,456.65","508,800"
"Dec 14, 2023","21,110.40","21,210.90","21,074.45","21,182.70","21,182.70","334,400"
"Dec 13, 2023","20,929.75","20,950.00","20,769.50","20,926.35","20,926.35","260,300"
"Dec 12, 2023","21,018.55","21,037.90","20,867.15","20,906.40","20,906.40","244,900"
"Dec 11, 2023","20,965.30","21,026.10","20,923.70","20,997.10","20,997.10","212,900"
"Dec 8, 2023","20,934.10","21,006.10","20,862.70","20,969.40","20,969.40","292,400"
"Dec 7, 2023","20,932.40","20,941.25","20,850.80","20,901.15","20,901.15","275,000"
"Dec 6, 2023","20,950.75","20,961.95","20,852.15","20,937.70","20,937.70","359,200"
"Dec 5, 2023","20,808.90","20,864.05","20,711.15","20,855.10","20,855.10","421,000"
"Dec 4, 2023","20,601.95","20,702.65","20,507.75","20,686.80","20,686.80","381,100"
